	Posicion	Nombre	Trofeos	Donaciones	Rol
0	#1	['Lukas3309']	['5800']	['487']	['Líder']
1	#2	['anko']	['5702']	['1440']	['Colíder']
2	#3	['⚔️Parzival⚔️']	['5637']	['610']	['Veterano']
3	#4	['KeOn126']	['5626']	['206']	['Miembro']
4	#5	['SirCriwa']	['5617']	['88']	['Veterano']
5	#6	['Link']	['5520']	['1100']	['Veterano']
6	#7	['JulsiNator']	['5504']	['96']	['Miembro']
7	#8	['Luxan']	['5495']	['214']	['Veterano']
8	#9	['Magic']	['5434']	['338']	['Veterano']
9	#10	['FreshDumbledore']	['5408']	['30']	['Veterano']
10	#11	['NAKATOMI']	['5387']	['472']	['Veterano']
11	#12	['Hebbe']	['5382']	['138']	['Veterano']
12	#13	['Cedimo']	['5333']	['772']	['Veterano']
13	#14	['Brain0815']	['5328']	['174']	['Miembro']
14	#15	['Tc GEBUMZING']	['5322']	['0']	['Miembro']
15	#16	['Fenerdaddy']	['5316']	['696']	['Veterano']
16	#17	['Roronoa Zoro']	['5298']	['0']	['Miembro']
17	#18	['Opfaklopfa']	['5293']	['510']	['Veterano']
18	#19	['noaplayer']	['5276']	['420']	['Veterano']
19	#20	['molfa']	['5274']	['1626']	['Colíder']
20	#21	['Marcel1337']	['5265']	['606']	['Miembro']
21	#22	['CK7']	['5262']	['820']	['Veterano']
22	#23	['Navros']	['5240']	['467']	['Veterano']
23	#24	['⚜Prince⚜']	['5233']	['634']	['Miembro']
24	#25	['hausmann']	['5231']	['631']	['Miembro']
25	#26	['D3ko']	['5222']	['192']	['Veterano']
26	#27	['v0o0o']	['5222']	['238']	['Colíder']
27	#28	['r3vv']	['5205']	['1455']	['Veterano']
28	#29	['arix']	['5205']	['170']	['Veterano']
29	#30	['Jan']	['5198']	['505']	['Veterano']
30	#31	['H3LLK1NG']	['5178']	['1601']	['Veterano']
31	#32	['MarsIce']	['5177']	['144']	['Veterano']
32	#33	['Sigl']	['5147']	['908']	['Veterano']
33	#34	['RudiRandale']	['5117']	['736']	['Miembro']
34	#35	['Oliverex']	['5099']	['1339']	['Miembro']
35	#36	['goldgeier']	['5087']	['30']	['Veterano']
36	#37	['ohshef']	['5085']	['166']	['Miembro']
37	#38	['Pauka']	['5055']	['308']	['Miembro']
38	#39	['DDBSN !!']	['5038']	['30']	['Miembro']
39	#40	['Teddy']	['5034']	['60']	['Veterano']
40	#41	['Steuermann Hans']	['4996']	['121']	['Veterano']
41	#42	['Neologist']	['4973']	['442']	['Miembro']
42	#43	['Alex']	['4956']	['310']	['Miembro']
43	#44	['Peti']	['4904']	['1188']	['Miembro']
44	#45	['Anh Minh2']	['4880']	['523']	['Miembro']
45	#46	['⚽PatzeEssen⚽']	['4870']	['514']	['Miembro']
46	#47	['ToastNatter™']	['4519']	['0']	['Miembro']
